多謝你 華語：謝謝你  
按呢好 華語：這樣好  
我佇你 華語：我支持你  
你講啥 華語：你說什麼  
著來呢 華語：要來喔  
伊人真好 華語：他待人很好  
講予伊知 華語：告訴他讓他知道 
有要緊無 華語：事情嚴不嚴重？  
好膽莫走 華語：有膽就不要逃跑！  
你莫怪伊 華語：你別責怪他。  
你捌伊無 華語：你認識他嗎？  
有這款可能 華語：有這種可能。  
你共我記咧 華語：你給我記住。  
著我的着矣 華語：輪到我了。  
伊人𤆬我一舉 華語：他長我一個舉分。  
我佮伊無親 華語：我和他不親近。  
你是按怎無來 華語：你為什麼沒有來？  
我的冊借人矣 華語：我的書借人了。  
你莫佯選假勸 華語：你不要自作聰明。  
好啦！莫吵啦！ 華語：好啦！別吵啦！  
伊常常得失人 華語：他常常得罪人。
我年紀比你大。 華語：我比你年長。
有也好，無也好。 華語：有也好，沒有也好。
他們兩個個性合得來。 華語：他們個性很合適。
我贊成你的看法。 華語：我同意你的看法。
阿英經常面帶笑容，眉開眼笑。 華語：阿英很愛笑神。
我們暫時不能見面。 華語：我們暫時不能見面。
做人就要懂道理。 華語：做人就要懂道理。
他是一個普通人。 華語：他是一個普通人。
你這麼就沒禮。 華語：你按耐講無母音。
你還有啥事情？ 華語：你猶有啥代誌？
閣講啥麼都是白費工夫。 華語：再說什麼都是白費工夫。
今天早上他來找你。 華語：下早伊伊有來揣你。
你講話不要那麼大聲。 華語：你講話毋好遐大聲。
兄弟姊妹一定要同心。 華語：兄弟姊妹著愛同心。
你來遮有啥物目的？ 華語：你來這裡有什麼目的？
我相信你也有同感。 華語：我相信你也有同感。
希望你會使成全我。 華語：希望你可以成全我。
請大家恬恬聽我講。 華語：請大家安靜聽我說話。
你緊來共我握手。 華語：你快來幫我。
啥人教你按呢做的？ 華語：誰教你這樣做的？
你陪我去彼邊好不好？ 華語：你陪我去那邊好不好？
這個消息正確嗎？ 華語：這個消息是有確實？
你莫閣學伊講話矣。 華語：你別再學他說話了。
噫，原來是按呢啊！ 華語：啊，原來是這樣啊！
邀請伊來參加活動。 華語：邀請他來參加活動。
你這個意見真寶貴。 華語：你這個意見真寶貴。
我毋知這發生什麼事。 華語：我不知道發生什麼事。
我早就知影伊有問題。 華語：我早就知道他有問題。
我們千萬不可以破壞彼此的感情。 華語：咱千萬毋通拍分感情。
你們兩個人不要再吵了啦！ 華語：恁兩个莫閣冤家矣啦！
我收到你寄來的信了。 華語：我有接著你寄來的批。
他們兩個人的感情很好。 華語：他們兩个人的感情真好。
這件事情錯的人是你。 華語：這件代誌毋對的人是你。
這件事我已經謝絕他了。 華語：這件代誌我共伊回拒矣。
你真的是娶到一個好老婆。 華語：你真正是娶著一个好某。
他勸告大家要關心社會。 華語：伊勸導家己關心社會。
等一下，等他來了再說。 華語：慢且是，等伊來才閣講。
我不喜歡他做事情的方法。 華語：我無合意伊做代誌的方式。
我承認這件事是我母親。 華語：我承認這項代誌是我母親。
大家在聊天，說得哈哈笑。 華語：逐家咧開講，講甲笑咍咍。
聽你的腔調好像是台南人。 華語：聽你的腔口看若是臺南人。
我把你當做是最好的朋友。 華語：我共你當做是上好的朋友。
伊每件代誌攏愛人幫忙。 華語：他每件事都要別人幫忙。
你敢有聽著彼件代誌的風聲？ 華語：你有沒有聽到那件事情的消息？
這件代誌咱有需要商量一下！ 華語：這件事情我們需要商量一下！
無代無誌你是按怎會去惹伊？ 華語：沒事你幹嘛去惹他？
人咧叫你，你好多回答一下。 華語：人家在叫你，你好歹也回答一下。
你出門在外，家己千萬愛細膩。 華語：你出門在外，自己千萬要小心。
兩个囡仔為著玩具咧吵架。 華語：兩個孩子為著玩具咧吵架。
阿伯早安。 華語：老伯早安。
你號做啥物名？ 華語：你叫什麼名字？
伊是我的家後。 華語：她是我的妻子。
伊蹛佇咱厝。 華語：他是我鄰居。
這个囡仔號名了沒？ 華語：這個小孩命名了沒？
阮囝子今年二十出頭矣。 華語：我兒子今年二十多歲了。
他們兩个自小學就是同窗。 華語：他們兩個人從小學就是同學。
頭前是死路。 華語：前面是死路。
船仔停佇橋跤。 華語：船停在橋下。
這條小路真歹行。 華語：這條小徑很難走。
你欲行對佗位去？ 華語：你要往哪裡走？
這台車猶會使騎。 華語：這部車還能騎。
我的車票是拍折回的。 華語：我的車票買的是來回票。
麻煩你轉對倒手升去。 華語：麻煩你往左彎。
伊已經倒轉去下港矣。 華語：他已經返回南部了。
這條路傷狹，袂當相閃車。 華語：這條路太窄，無法錯車。
市場離遮真遠，愛行真久。 華語：市場距離這裡很遠，要走很久。
阮這个庄頭的交通真無方便。 華語：我們這個村莊的交通很不便利。
落雨天的時陣，這條路就愈甲真歹行。 華語：下雨天的時候，這條路就變得很難走。
這通食無？ 華語：這可以吃嗎？
食了傷腍。 華語：吃得太膩。
有幾項菜？ 華語：有幾道菜？
我猶未食飯。 華語：我還沒吃飯。
共肉冰起來。 華語：把肉冰起來。
伊上愛食烔肉。 華語：他最喜歡吃烤肉。
我欲去買雞卵。 華語：我要去買雞蛋。
伊食菜，無食膘。 華語：他吃素，不吃葷。
菜煮甲臭火焦去。 華語：菜燒焦了。
彼的果子予你食。 華語：那些水果給你吃。
這箱柑仔予恁去分。 華語：這箱橘子給你們分了吃。
這尾魚煎了有赤。 華語：這條魚煎得微焦。
囝仔人毋通傷揀食。 華語：小孩子不可以太挑食。
毋通予豆油滴落來。 華語：不要讓醬油滴下來。
你敢有聞著燒焦味？ 華語：你聞到燒焦味了嗎？
這個湯頭的味道毋錯。 華語：這個湯頭的味道不錯。
伊把餅乾裝進去盒子裡頭。 華語：他把餅乾裝進去盒子裡頭。
新竹生產的貢丸真有名。 華語：新竹生產的貢丸很有名。
你欲飲咖啡抑是欲飲茶？ 華語：你要喝咖啡還是要喝茶？
西瓜若愛熟才會好食。 華語：西瓜要當熟了才好吃。
我的喙唇拄著一支魚刺。 華語：我的嘴唇卡著一根魚刺。
糖仔一人一粒，毋通相爭。 華語：糖果一人一顆，不要爭。
叫你老爸趕緊轉來食晏啦。 華語：叫你爸爸趕快回來吃晚飯啦。
我來挑菜，揀好才予你洗。 華語：我來挑菜，挑好再給你洗。
伊第一擺煮的菜閣拄牙食。 華語：他第一次煮的菜還不難吃。
食物一定愛清氣，才有衛生。 華語：食物一定要乾淨，才有衛生。
這塊碗較深，會使裝較濟湯。 華語：這個碗比較深，能盛比較多的湯。
這鼎肉我滴規下鍋。 華語：這鍋肉我滴了一整個下去。
分做兩份。 華語：分成兩份。
你莫閣笑矣！ 華語：你不要再笑了！
莫閣振動矣！ 華語：不要再動了！
愛睏就去睏。 華語：想睡就去睡。
你選佗一个？ 華語：你選哪一個？
反過來洗這面。 華語：翻過來洗這一邊。
伊才走無偌久。 華語：他剛離開不久。
怹攏共我恬恬！ 華語：你們都給我安靜點！
你去共門閂開。 華語：你去把門打開。
伊嘛欲叫你去。 華語：他也想讓你去。
你去摺衫好無？ 華語：你去摺衣服好嗎？
熄焦水洗身軀。 華語：燒開水洗澡。
我欲準備落山矣。 華語：我要準備下山了。
你毋通傷暗轉來。 華語：你別太晚回來。
昨暗伊無轉來睏。 華語：昨晚他沒有回來睡。
你莫佇遮踅鈄地。 華語：你不要站在這裡礙事。
出力共伊捔落去。 華語：用力摔下去。
果仔予蟲咬蛀一空。 華語：果子被蟲咬蛀了一個洞。
來噢！緊來看噢！ 華語：來啊！快來看啊！
共物件提落來遮。 華語：把東西拿下來這裡。
伊的頭去拍著桌角。 華語：他的頭撞到了桌角。
辛苦啊！歇睏一下。 華語：辛苦了！休息一下。
你去捧茶來予人客啦。 華語：你去端茶來給客人喝。
