阿  華語：阿
仔  華語：仔、子
愛  華語：喜歡、想要、愛
偝  華語：背
沃  華語：澆、淋
泔  華語：稀的、米湯
頷頸 華語：脖子、頸項
按呢 華語：這樣、如此
按怎 華語：怎麼、怎樣
翁  華語：丈夫
尪仔 華語：玩偶、人像
遏  華語：折斷
漚  華語：浸泡、醃
甌  華語：小杯子
拗  華語：折、扭曲
漚  華語：爛、不好
挽  華語：摘、採、採摘
後壁 華語：背面、後面
䆀  華語：不好、醜
蠓  華語：蚊子
茫  華語：神智不清、模糊不清
捌  華語：認識、曾經
袂  華語：不、不能、不會
欲  華語：要、如果、快要
微  華語：微、細小、輕微
覕  華語：躲藏
抿  華語：刷、刷子
明仔載 華語：明天、明日
眠夢 華語：做夢
面  華語：臉、面
無  華語：無、沒有
舞  華語：舞、胡搞
母  華語：母
尾  華語：尾巴、後面、尾
蝶仔 華語：蝴蝶
魩仔魚 華語：魚苗
的  華語：的
个  華語：個
下  華語：下、方向
會  華語：可以、會
狹  華語：窄
𠢕  華語：很會、能幹、擅長、常常
夯  華語：扛、發作
攑  華語：拿、舉起、豎起
鋏  華語：夾
囡仔 華語：孩子
凝  華語：鬱結
戇  華語：傻
外  華語：外、娘家的
外  華語：多、餘
阮  華語：我們、我的
月娘 華語：月亮
縖  華語：繫、圍
合  華語：契合、適合
海湧 華語：海浪
蚶仔 華語：文蛤
譀  華語：荒誕不實、放大
陷眠 華語：夢囈
吼  華語：哭、叫
彼  華語：那
下  華語：放
遐  華語：那、那裡
遐  華語：那麼
薟  華語：辣、嗆
掀  華語：掀、翻
現  華語：當下、清楚明白
燃  華語：燃燒
㧒  華語：丟擲
歇  華語：休息
雄雄 華語：突然、猛然、一時間
翕  華語：攝影
彼  華語：那
佳哉 華語：幸虧、幸好
好勢 華語：妥當
風颱 華語：颱風
好  華語：喜好
胡蠅 華語：蒼蠅
予  華語：給、被
撫  華語：撫摸
拊  華語：揉擦、（肉、魚）鬆
喝  華語：喊、叫
法度 華語：辦法
瓷仔 華語：陶瓷器
粉鳥 華語：鴿子
份  華語：份
伊  華語：他、她
椅條 華語：無靠背的長板凳
奕  華語：玩
也  華語：也、亦
蛾仔 華語：蛾
抑是 華語：或是、或者
緣投 華語：英俊
厭氣 華語：丟臉、漏氣、悔恨
芫荽 華語：香菜
枵  華語：餓
猶  華語：還、尚
因  華語：他們、他的
往  華語：以前、常常
閒  華語：空閒
臆  華語：猜
有孝 華語：孝順
遮  華語：遮
抓  華語：抓、搔
入  華語：進入、裝入、參加
日  華語：太陽、日子
揉  華語：（用濕布）揉擦
鰇魚 華語：魷魚
愈  華語：愈、越
偌  華語：多少、多麼
熱  華語：炎熱、夏天
挼  華語：揉、搓
家己 華語：自己
鉸刀 華語：剪刀
共  華語：把、對、給、向
蓋  華語：蓋
甲  華語：得
佮意 華語：中意
甘  華語：甘甜、捨得、情願
敢  華語：難道、是否
艱苦 華語：難過、生病不舒服
干焦 華語：僅只
工  華語：工夫、天
仝  華語：同
到  華語：抵達、到期
加  華語：加
家婆 華語：愛管閒事、雞婆
羹  華語：羹、勾芡的食物
跤  華語：腳、下面
尻川 華語：屁股
尻脊 華語：後背
跤頭趺 華語：膝蓋
敲  華語：（敲）打、敲
較  華語：比較、更、再
空  華語：空、洞
磕  華語：碰觸
徛  華語：站、住
巧  華語：聰明
抾  華語：撿、拾、積聚
搝  華語：拉、揪、扯
囥  華語：放、保留
可比 華語：好比、比方
觳  華語：小容器、小盒子
硞  華語：碰撞、碰撞聲
悾  華語：笨、呆、頭腦不清楚
炕  華語：熬煮、燜熟
跍  華語：蹲
款  華語：樣式、情況、整理
看覓 華語：看看
快活 華語：舒服、快活、寬裕
睏  華語：睡覺、休息、一陣子
枝  華語：枝
見若 華語：凡是、每逢
驚  華語：害怕
行  華語：行走、航行、交往
弓蕉 華語：香蕉
緊  華語：快、急
揀  華語：揀、挑、選
閣  華語：再、還、更加
管  華語：管子
講  華語：說、講
鈷  華語：壺
古意 華語：忠厚、老實
古錐 華語：可愛
糊  華語：漿糊
掛  華語：掛、戴、登記
蓋  華語：蓋子
慣勢 華語：習慣
懸  華語：高
乾  華語：乾
寒  華語：寒、冷
粿 華語：粿
果子 華語：水果
規 華語：規、整個
幾若 華語：好幾
骨力 華語：勤勞、努力
蜊仔 華語：蜆
內 華語：內、裡
䘽 華語：口袋
落 華語：落、掉
咱 華語：我們、我們的
人 華語：人
弄 華語：舞弄、逗弄、耍
頭顱 華語：頭、頭顱
焦 華語：焦
來去 華語：去、走
藍 華語：藍、藍色
𦂳 華語：鬧、鬧聲
歹 華語：不好、壞、醜惡
啦 華語：了、啦（語尾助詞）
落 華語：落下、放下
挈 華語：拉傷
落 華語：渙出、丟失、脫落
咧 華語：在、正在
掠 華語：抓
連鞭 華語：馬上、立刻
輪 華語：輪子、鍊條
攢 華語：滾動、圓（量詞）
啉 華語：喝
恁 華語：你們、你的、你們的
奶 華語：乳房、奶
冤 華語：冤、冤枉
鈕 華語：鈕釦、扣上
落 華語：下、降、放入、入（睡）
篱 華語：裝、套、袋子
溜嘴 華語：漱口
攏 華語：都、皆、全部
拐 華語：撬、擊、敲
勞力 華語：感謝（別人的幫忙或服務）
露螺 華語：蝸牛
擄 華語：推剪、推移
鑢 華語：出力刷洗、嚴重磨擦
捋 華語：柄子、梳、搓
慄 華語：來（量詞）、隻（量詞）
